S.No.,Player Name,Club,Position,Total Attempts,On Target,Off Target,Blocked,Match Played
491,Lovren,Zenit,Defender,1,0,1,0,4
492,Simakan,Leipzig,Defender,1,0,1,0,4
493,Haidara,Leipzig,Midfielder,1,0,1,0,4
494,Wendell,Porto,Defender,1,0,1,0,4
495,Herrera,Atlético,Midfielder,1,0,1,0,4
496,Calabria,Milan,Defender,1,0,1,0,4
497,Larsson,Malmö,Defender,1,0,1,0,4
498,Cavani,Man. United,Forward,1,0,1,0,4
499,Stepanenko,Shakhtar Donetsk,Midfielder,1,0,1,0,4
500,Vitinho,Dynamo Kyiv,Midfielder,1,0,1,0,3
501,Lefort,Young Boys,Defender,1,0,1,0,3
502,Knauff,Dortmund,Midfielder,1,0,1,0,3
503,Tagliafico,Ajax,Defender,1,0,1,0,3
504,Maceiras,Young Boys,Defender,1,0,1,0,3
505,Icardi,Paris,Forward,1,0,1,0,3
506,Meite,Benfica,Midfielder,1,0,1,0,3
507,Alex Teixeira,Beşiktaş,Midfielder,1,0,1,0,3
508,Kampl,Leipzig,Midfielder,1,0,1,0,3
509,Pedri,Barcelona,Midfielder,1,0,1,0,2
510,Flávio Nazinho,Sporting CP,Defender,1,0,1,0,2
511,Balde,Barcelona,Defender,1,0,1,0,2
512,Kudus,Ajax,Midfielder,1,0,1,0,2
513,Korniienko,Shakhtar Donetsk,Defender,1,0,1,0,2
514,Philipp,Wolfsburg,Forward,1,0,1,0,2
515,Fábio Cardoso,Porto,Defender,1,0,1,0,2
516,Serdar Saatçı,Beşiktaş,Defender,1,0,1,0,1
517,Maier,Young Boys,Midfielder,1,0,1,0,1
518,Miguel Gutiérrez,Real Madrid,Defender,1,0,1,0,1
519,Bondar,Shakhtar Donetsk,Defender,1,0,1,0,1
520,Óscar Rodríguez,Sevilla,Midfielder,1,0,1,0,1
521,Lustenberger,Young Boys,Defender,1,0,1,0,1
522,Estupiñán,Villarreal,Defender,1,0,0,1,10
523,Capaldo,Salzburg,Midfielder,1,0,0,1,7
524,De Ligt,Juventus,Defender,1,0,0,1,7
525,Wan-Bissaka,Man. United,Defender,1,0,0,1,6
526,Barrios,Zenit,Midfielder,1,0,0,1,6
527,Krugovoi,Zenit,Defender,1,0,0,1,6
528,Toni Martínez,Porto,Forward,1,0,0,1,6
529,Marcos Antônio,Shakhtar Donetsk,Midfielder,1,0,0,1,5
530,Gerhardt,Wolfsburg,Midfielder,1,0,0,1,5
531,Mambimbi,Young Boys,Forward,1,0,0,1,4
532,Yusuf Yazıcı,LOSC,Midfielder,1,0,0,1,4
533,Delaney,Sevilla,Midfielder,1,0,0,1,4
534,N'Sakala,Beşiktaş,Defender,1,0,0,1,3
535,Ben Arfa,LOSC,Midfielder,1,0,0,1,2
536,Nanasi,Malmö,Midfielder,1,0,0,1,2
537,Francisco Conceição,Porto,Forward,1,0,0,1,2
538,Passlack,Dortmund,Midfielder,1,0,0,1,2
539,Kuznetsov,Zenit,Forward,1,0,0,1,1
540,Esteves,Sporting CP,Defender,1,0,0,1,1
541,Šimić,Salzburg,Forward,1,0,0,1,1
542,Dina Ebimbe,Paris,Midfielder,1,0,0,1,1
543,N'Koudou,Beşiktaş,Midfielder,1,0,0,1,1
544,Izquierdo,Club Brugge,Forward,1,0,0,1,1
545,Radonjić,Benfica,Forward,1,0,0,1,1
546,Agüero,Barcelona,Forward,1,0,0,1,1
